id,price,order_date,due_date,opt_date,delivery_date,cidade_origem_id,regiao_origem_id,cidade_destino_id,regiao_destino_id,peso
0,107.78,2022-02-25 20:46:25+00:00,2022-03-02 00:00:00,2022-02-28 20:35:20,2022-03-02 18:03:33,2,1,25,1,23.8
1,7.47,2022-02-23 20:34:59+00:00,2022-02-24 00:00:00,2022-02-24 09:56:23,2022-02-24 15:52:40,2,1,16,4,536
2,5.98,2022-02-23 20:35:19+00:00,2022-02-24 00:00:00,2022-02-23 20:29:38,2022-02-24 22:55:38,2,1,88,1,202
3,5.98,2022-02-10 14:34:37+00:00,2022-02-17 00:00:00,2022-02-17 07:47:49,2022-02-17 14:23:12,2,1,21,1,441
4,5.98,2022-02-23 20:35:05+00:00,2022-02-24 00:00:00,2022-02-23 20:28:40,2022-02-24 12:08:00,2,1,25,1,316
5,5.37,2022-02-23 20:34:59+00:00,2022-02-25 00:00:00,2022-02-24 07:37:32,2022-02-24 13:36:45,2,1,85,1,0.73
6,7.47,2022-02-23 20:35:19+00:00,2022-02-24 00:00:00,2022-02-24 09:13:04,2022-02-24 16:38:55,2,1,16,4,875
7,7.47,2022-02-23 20:35:19+00:00,2022-02-24 00:00:00,2022-02-24 08:12:34,2022-02-24 09:34:03,2,1,16,4,1.74
8,5.37,2022-02-23 20:35:05+00:00,2022-02-25 00:00:00,2022-02-23 21:03:32,2022-02-24 12:31:40,2,1,9,1,525
9,7.42,2022-02-11 13:15:49+00:00,2022-02-24 00:00:00,2022-02-19 08:26:43,2022-03-04 20:08:34,2,1,93,2,525
10,5.98,2022-02-11 13:08:33+00:00,2022-02-17 00:00:00,2022-02-17 08:55:56,2022-02-18 16:53:38,2,1,1,1,0.39
11,7.42,2022-02-23 20:34:59+00:00,2022-02-28 00:00:00,2022-03-03 09:12:33,2022-03-04 09:00:03,2,1,93,2,711
12,5.98,2022-02-23 20:35:19+00:00,2022-02-24 00:00:00,2022-02-23 20:27:57,2022-02-24 14:18:13,2,1,25,1,0.29
13,7.47,2022-02-10 14:36:57+00:00,2022-02-17 00:00:00,2022-02-17 08:54:03,2022-02-17 18:55:34,2,1,16,4,0.58
14,7.42,2022-02-10 14:35:11+00:00,2022-02-21 00:00:00,2022-02-18 11:51:57,2022-02-18 13:48:17,2,1,36,2,1.16
15,5.98,2022-02-23 20:35:05+00:00,2022-02-24 00:00:00,2022-02-23 20:29:38,2022-02-24 21:28:25,2,1,30,1,387
16,5.98,2022-02-11 13:21:03+00:00,2022-02-17 00:00:00,2022-02-17 07:29:18,2022-02-17 13:30:05,2,1,109,1,525
17,7.47,2022-02-10 14:38:48+00:00,2022-02-17 00:00:00,2022-02-17 14:59:50,2022-02-17 20:11:14,2,1,16,4,1448
18,5.37,2022-02-23 20:36:41+00:00,2022-02-24 00:00:00,2022-02-23 21:10:20,2022-02-24 13:19:41,2,1,2,1,147
19,5.98,2022-02-23 20:34:59+00:00,2022-02-24 00:00:00,2022-02-24 11:45:52,2022-02-24 21:20:50,2,1,62,1,525
20,6.78,2022-02-23 20:36:41+00:00,2022-02-28 00:00:00,2022-02-24 10:17:53,2022-03-02 22:31:37,2,1,103,1,525
21,7.42,2022-02-11 16:15:30+00:00,2022-02-21 00:00:00,2022-02-21 10:55:19,2022-02-21 15:03:37,2,1,36,2,01.05
22,5.98,2022-02-23 20:34:59+00:00,2022-02-24 00:00:00,2022-02-24 08:54:14,2022-02-24 16:17:05,2,1,77,1,405
23,5.98,2022-02-11 13:33:02+00:00,2022-02-18 00:00:00,2022-02-17 08:00:00,2022-02-17 13:53:40,2,1,84,1,0.48
24,5.98,2022-02-23 20:35:05+00:00,2022-02-24 00:00:00,2022-02-24 09:53:02,2022-02-24 17:16:20,2,1,19,1,536
